front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
E,3,1,2,15,Yes,4,No,No,Yes,Yes,Yes,Yes,No,300,2,No,No,No,No,No,الجنادرية,East of Riyadh,1400000.0,4666.666666666667
SW,7,2,5,15,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,360,0,Yes,Yes,No,No,No,الياسمين,North of Riyadh,3850000.0,10694.444444444443
NW,5,1,5,20,Yes,0,No,No,Yes,Yes,Yes,Yes,No,385,2,Yes,No,No,No,No,المونسية,East of Riyadh,2750000.0,7142.857142857143
N,7,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,275,0,Yes,No,No,No,No,بدر,South of Riyadh,880000.0,3200.0
W,4,3,5,20,Yes,0,No,Yes,No,Yes,No,Yes,No,375,2,Yes,No,No,No,No,الرمال,East of Riyadh,2200000.0,5866.666666666667
SE,4,1,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,330,1,No,No,No,No,No,بدر,South of Riyadh,1200000.0,3636.363636363637
E,5,1,5,20,Yes,0,No,Yes,No,Yes,No,Yes,Yes,300,0,Yes,No,No,No,No,عكاظ,South of Riyadh,1000000.0,3333.333333333333
N,6,2,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,250,0,Yes,No,No,No,No,ظهرة نمار,West of Riyadh,1150000.0,4600.0
N,4,2,5,18,No,0,No,No,Yes,Yes,Yes,Yes,No,315,0,Yes,No,No,No,No,الرمال,East of Riyadh,1400000.0,4444.444444444444
SE,4,1,4,20,Yes,0,No,No,No,Yes,Yes,Yes,No,300,2,No,No,No,No,No,الرمال,East of Riyadh,1550000.0,5166.666666666667
N,5,2,5,18,Yes,0,No,No,Yes,Yes,Yes,Yes,No,300,1,Yes,No,No,No,No,الرمال,East of Riyadh,1500000.0,5000.0
S,4,2,4,18,No,0,No,No,Yes,Yes,Yes,Yes,No,300,1,Yes,No,No,No,No,الرمال,East of Riyadh,1550000.0,5166.666666666667
W,5,3,5,20,Yes,0,No,No,Yes,Yes,No,Yes,No,300,0,Yes,Yes,No,Yes,No,العارض,North of Riyadh,3000000.0,10000.0
N,4,1,5,16,No,7,No,Yes,Yes,Yes,Yes,Yes,No,400,2,Yes,No,No,No,No,طويق,West of Riyadh,1500000.0,3750.0
E,5,2,5,15,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,325,2,Yes,Yes,No,No,No,الرمال,East of Riyadh,1800000.0,5538.461538461538
E,5,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,250,0,Yes,No,No,No,No,الرمال,East of Riyadh,1300000.0,5200.0
W,5,2,5,14,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,300,1,Yes,No,No,No,No,الرمال,East of Riyadh,1450000.0,4833.333333333333
SE,6,2,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,200,0,Yes,No,No,No,No,طويق,West of Riyadh,1100000.0,5500.0
E,4,2,4,15,Yes,0,Yes,No,Yes,Yes,No,Yes,No,272,1,Yes,Yes,No,No,No,الرمال,East of Riyadh,1850000.0,6801.470588235294
W,7,3,5,18,Yes,0,No,No,Yes,Yes,Yes,Yes,No,300,2,No,No,No,No,No,الرمال,East of Riyadh,1400000.0,4666.666666666667
S,4,2,4,20,No,0,No,No,Yes,Yes,Yes,Yes,No,300,1,No,No,No,No,No,الرمال,East of Riyadh,1350000.0,4500.0
S,5,3,5,15,Yes,0,No,No,Yes,Yes,No,Yes,No,300,0,No,Yes,No,No,No,النرجس,North of Riyadh,2980000.0,9933.333333333334
W,4,2,5,18,No,0,No,No,Yes,Yes,Yes,Yes,No,300,1,Yes,Yes,No,No,No,الرمال,East of Riyadh,1400000.0,4666.666666666667
N,5,2,5,18,Yes,0,No,No,Yes,Yes,Yes,Yes,No,300,1,Yes,No,No,No,No,الرمال,East of Riyadh,1550000.0,5166.666666666667
E,7,2,5,15,Yes,1,Yes,No,Yes,Yes,Yes,Yes,No,312,1,Yes,No,Yes,No,No,الحزم,West of Riyadh,1400000.0,4487.179487179487
NE,6,2,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,260,0,Yes,Yes,No,No,No,العارض,North of Riyadh,3100000.0,11923.076923076924
S,5,3,5,15,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,300,1,Yes,Yes,No,Yes,No,المونسية,East of Riyadh,2200000.0,7333.333333333333
